correo,dominio,tipo,fuente_origen
02h00323educ12d01@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
02h00330educ12d01@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
02h00338educ12d01@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
02h00392educ12d01@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
02h00398educ12d01@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
02h00632educ12d01@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07b00005@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07b00006@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00001@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00002@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00006@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00009@hotmail.com,hotmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00011@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00012@gmal.com,gmal.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00013@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00030@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00032@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00033@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00045@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00048@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00050@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00056@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00057@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00059@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00062@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00063@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00066d02@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00068@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00076@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00081@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h000@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00114@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00118@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00125@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00127@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00129@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00133@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00135@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00164@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
07h00165@gmail.com,gmail.com,Educación / Colegio / Escuela (AMIE),Consolidado
