correo,dominio,apariciones,archivos_origen
02h00323educ12d01@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
02h00330educ12d01@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
02h00338educ12d01@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
02h00392educ12d01@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
02h00398educ12d01@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
02h00632educ12d01@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
04marycarmen1@gmail.com,gmail.com,1,Correos funcionales 98k.xlsx (1)
06d03egbcelsoaugustorodriguez@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07b00005@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07b00006@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07h00001@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07h00002@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07h00006@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07h00009@hotmail.com,hotmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07h00011@gmail.com,gmail.com,2,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1); Correos funcionales 98k.xlsx (1)
07h00012@gmal.com,gmal.com,1,LISTADO DE AUDITORES WXTERNOS 2025.xlsx (1)
