correo,tipo_segmento,identificador_o_dominio,empresa_o_razon_social,provincia,ciudad
09marlone@gmail.com,Supercias ACTIVA con RUC,0992358912001,ADEXTELECOM S.A.,GUAYAS,GUAYAQUIL
1805.forestrios@gmail.com,Supercias ACTIVA con RUC,0992778504001,TRANSPORTE GENERAL DE CARGA PESADA TRANSGECARPE S.A.,GUAYAS,GUAYAQUIL
2068369967@qq.com,Supercias ACTIVA con RUC,0992579641001,IMPORTADORA Y EXPORTADORA UNIVERSAL S.A. IMPEXU,GUAYAS,GUAYAQUIL
4csa82@gmail.com,Supercias ACTIVA con RUC,0990594724001,4-C CENTRO DE CALCULO Y CONTROL DE CALIDAD SA,GUAYAS,GUAYAQUIL
7eduardochavez@gmail.com,Supercias ACTIVA con RUC,1792728185001,PEARSON HARMAN PGC C.L.,PICHINCHA,QUITO
acse_cpec@hotmail.com,Supercias ACTIVA con RUC,1792410592001,ACSECONSULTING DEL ECUADOR CIA. LTDA.,PICHINCHA,QUITO
agrovoldi_s_a@live.com,Supercias ACTIVA con RUC,0992437006001,COMPAÑIA AGROINDUSTRIA VOLUNTAD DE DIOS AGROVOLDI S.A.,GUAYAS,GUAYAQUIL
alborak@easynet.net.ec,Supercias ACTIVA con RUC,0992582316001,ALBORAK S.A.,GUAYAS,GUAYAQUIL
arcenaso@andinanet.net,Supercias ACTIVA con RUC,0992696842001,OMEGACONSTRUC S.A.,GUAYAS,GUAYAQUIL
adalberto_aguayo@yahoo.com,Supercias ACTIVA con RUC,0992864443001,CIMIF CONSTRUCCIONES Y MONTAJES INDUSTRIALES FRANCO S. A.,GUAYAS,GUAYAQUIL
alexita70@hotmail.com,Supercias ACTIVA con RUC,0992723211001,COMPAÑIA DE SEGURIDAD ALERTA RED C.S.A.R. CIA.LTDA.,GUAYAS,GUAYAQUIL
anita.villavicencio@psicofarma.com.mx,Supercias ACTIVA con RUC,0992316861001,PSICOFARMA DEL ECUADOR S.A. (PSICODELCU),GUAYAS,GUAYAQUIL
ber_sue@live.com,Supercias ACTIVA con RUC,0992484543001,CONSTRUCTORA E INMOBILIARIA BERTHA & SUELYNG (BER&SUE) S.A.,GUAYAS,GUAYAQUIL
blanca.orozco@napa.com.ec,Supercias ACTIVA con RUC,0992622679001,"NAPA, NORTH AMERICAN PARTS S.A.",GUAYAS,GUAYAQUIL
brito_milton@hotmail.com,Supercias ACTIVA con RUC,0992652969001,TECNOLOGIA INFORMATICA ITPEOPLE S.A.,GUAYAS,GUAYAQUIL
caleb22sep@hotmail.com,Supercias ACTIVA con RUC,0992480521001,IMPOFERRCORP S.A.,GUAYAS,GUAYAQUIL
canessa@larreacanessa.com,Supercias ACTIVA con RUC,0992852011001,DEMELICORP S.A.,GUAYAS,GUAYAQUIL
